講師名（英語）,専門科,所属,レクチャータイトル（英語）,配信用動画タイトル,パスコード,Vimeo動画のlink
Dr.Ran Goldman,小児科,University of British Columbia,Fever in Children,[小児科] Dr.Ran Goldman - Fever in Children (2025.11.20),651490,https://vimeo.com/1176803375
Dr.Ran Goldman,小児科,University of British Columbia,Croup in Pediatrics,[小児科] Dr.Ran Goldman - Croup in Pediatrics (2025.11.21),651490,https://vimeo.com/1176803661
Dr.Junji Machi,外科,"Professor of Surgery, University of Hawaii at Manoa John A. Burns School of Medicine",Case Discussion: Jaundice,[外科] Dr.Junji Machi - Case Discussion: Jaundice (2025.11.25),633615,https://vimeo.com/1176803906
Dr.Junji Machi,外科,"Professor of Surgery, University of Hawaii at Manoa John A. Burns School of Medicine",Space Medicine,[外科] Dr.Junji Machi - Space Medicine (2025.11.26),633615,https://vimeo.com/1176804158
Dr.Junji Machi,外科,"Professor of Surgery, University of Hawaii at Manoa John A. Burns School of Medicine",Lecture at Nanbu Medical Center,[外科] Dr.Junji Machi - Lecture at Nanbu Medical Center (2025.11.26),455343,
Dr.Junji Machi,外科,"Professor of Surgery, University of Hawaii at Manoa John A. Burns School of Medicine",Clinical Fellowship in the United States,[外科] Dr.Junji Machi - Clinical Fellowship in the United States (2025.11.27),633615,https://vimeo.com/1176804412
Dr.Jannet Lee Jayaram,小児科,"Clinical Associate Professor, John A. Burns School of Medicine, University of Hawaii",Pediatric Foreign Body Ingestions: Not Just a Coin,[小児科] Dr.Jannet Lee Jayaram - Pediatric Foreign Body Ingestions: Not Just a Coin (2025.12.01),224201,https://vimeo.com/1176804647
Dr.Jannet Lee Jayaram,小児科,"Clinical Associate Professor, John A. Burns School of Medicine, University of Hawaii",Simulation training,[小児科] Dr.Jannet Lee Jayaram - Simulation training (2025.12.01),,
Dr.Jannet Lee Jayaram,小児科,"Clinical Associate Professor, John A. Burns School of Medicine, University of Hawaii","Fast, Effective, & Needle-Free: Intranasal Medications for Analgesia and Sedation","[小児科] Dr.Jannet Lee Jayaram - Fast, Effective, & Needle-Free: Intranasal Medications for Analgesia and Sedation (2025.12.02)",224201,https://vimeo.com/1176804906
Dr.Jannet Lee Jayaram,小児科,"Clinical Associate Professor, John A. Burns School of Medicine, University of Hawaii",Lecture at Nanbu Medical Center,[小児科] Dr.Jannet Lee Jayaram - Lecture at Nanbu Medical Center (2025.12.02),437988,
Dr.Jannet Lee Jayaram,小児科,"Clinical Associate Professor, John A. Burns School of Medicine, University of Hawaii",Beyond CT: Rapid MRI for children in the Emergency Department,[小児科] Dr.Jannet Lee Jayaram - Beyond CT: Rapid MRI for children in the Emergency Department (2025.12.03),224201,https://vimeo.com/1176805177
Dr.Jannet Lee Jayaram,小児科,"Clinical Associate Professor, John A. Burns School of Medicine, University of Hawaii",Hidden Dangers: Rapid Recognition & Management of Pediatric Toxic Ingestions,[小児科] Dr.Jannet Lee Jayaram - Hidden Dangers: Rapid Recognition & Management of Pediatric Toxic Ingestions (2025.12.03),878196,https://vimeo.com/1176805461
Dr.Jannet Lee Jayaram,小児科,"Clinical Associate Professor, John A. Burns School of Medicine, University of Hawaii",Simulation training,[小児科] Dr.Jannet Lee Jayaram - Simulation training (2025.12.03),,
Dr.Jannet Lee Jayaram,小児科,"Clinical Associate Professor, John A. Burns School of Medicine, University of Hawaii",Enhancing the Care of Young Febrile Infants in Hawaii: A Quality Improvement Initiative,[小児科] Dr.Jannet Lee Jayaram - Enhancing the Care of Young Febrile Infants in Hawaii: A Quality Improvement Initiative (2025.12.04),224201,
Dr.Jannet Lee Jayaram,小児科,"Clinical Associate Professor, John A. Burns School of Medicine, University of Hawaii","Recognition of Child Maltreatment: Red Flags, Evaluation, & Injury Patterns","[小児科] Dr.Jannet Lee Jayaram - Recognition of Child Maltreatment: Red Flags, Evaluation, & Injury Patterns (2025.12.04)",878196,https://vimeo.com/1176805625
Dr.Jannet Lee Jayaram,小児科,"Clinical Associate Professor, John A. Burns School of Medicine, University of Hawaii",Simulation training,[小児科] Dr.Jannet Lee Jayaram - Simulation training (2025.12.04),,
Dr.Jannet Lee Jayaram,小児科,"Clinical Associate Professor, John A. Burns School of Medicine, University of Hawaii",Promoting Reflection & Learning in Healthcare with Debriefing,[小児科] Dr.Jannet Lee Jayaram - Promoting Reflection & Learning in Healthcare with Debriefing (2025.12.05),224201,https://vimeo.com/1176805807
Dr.Zolt Janos Balogh,整形外科,"Director of Trauma for John Hunter Hospital and Hunter New England Health / Professor of Surgery and Traumatology, University of Newcastle, Australia / Chair, Australasian Trauma Care Verification Program Committee",Welcoming remarks & Case conference (PGY2 resident),[整形外科] Dr.Zolt Janos Balogh - Welcoming remarks & Case conference (PGY2 resident) (2025.12.08),450776,
Dr.Zolt Janos Balogh,整形外科,"Director of Trauma for John Hunter Hospital and Hunter New England Health / Professor of Surgery and Traumatology, University of Newcastle, Australia / Chair, Australasian Trauma Care Verification Program Committee",Management of pelvic ring injuries in shock,[整形外科] Dr.Zolt Janos Balogh - Management of pelvic ring injuries in shock (2025.12.08),641874,
Dr.Zolt Janos Balogh,整形外科,"Director of Trauma for John Hunter Hospital and Hunter New England Health / Professor of Surgery and Traumatology, University of Newcastle, Australia / Chair, Australasian Trauma Care Verification Program Committee",Polytrauma: the disease,[整形外科] Dr.Zolt Janos Balogh - Polytrauma: the disease (2025.12.09),450776,
Dr.Zolt Janos Balogh,整形外科,"Director of Trauma for John Hunter Hospital and Hunter New England Health / Professor of Surgery and Traumatology, University of Newcastle, Australia / Chair, Australasian Trauma Care Verification Program Committee",Evidence for surgical stabilisation of rib fractures,[整形外科] Dr.Zolt Janos Balogh - Evidence for surgical stabilisation of rib fractures (2025.12.09),641874,
Dr.Zolt Janos Balogh,整形外科,"Director of Trauma for John Hunter Hospital and Hunter New England Health / Professor of Surgery and Traumatology, University of Newcastle, Australia / Chair, Australasian Trauma Care Verification Program Committee",Case conference (PGY2 resident),[整形外科] Dr.Zolt Janos Balogh - Case conference (PGY2 resident) (2025.12.10),450776,
Dr.Zolt Janos Balogh,整形外科,"Director of Trauma for John Hunter Hospital and Hunter New England Health / Professor of Surgery and Traumatology, University of Newcastle, Australia / Chair, Australasian Trauma Care Verification Program Committee",Master of Traumatology Program,[整形外科] Dr.Zolt Janos Balogh - Master of Traumatology Program (2025.12.10),641874,
Dr.Zolt Janos Balogh,整形外科,"Director of Trauma for John Hunter Hospital and Hunter New England Health / Professor of Surgery and Traumatology, University of Newcastle, Australia / Chair, Australasian Trauma Care Verification Program Committee",M&M Conference,[整形外科] Dr.Zolt Janos Balogh - M&M Conference (2025.12.11),450776,
Dr.Zolt Janos Balogh,整形外科,"Director of Trauma for John Hunter Hospital and Hunter New England Health / Professor of Surgery and Traumatology, University of Newcastle, Australia / Chair, Australasian Trauma Care Verification Program Committee",Post-traumatic multiple organ failure,[整形外科] Dr.Zolt Janos Balogh - Post-traumatic multiple organ failure (2025.12.11),641874,
Dr.Zolt Janos Balogh,整形外科,"Director of Trauma for John Hunter Hospital and Hunter New England Health / Professor of Surgery and Traumatology, University of Newcastle, Australia / Chair, Australasian Trauma Care Verification Program Committee",Trauma Care Verification Program & Farewell remarks,[整形外科] Dr.Zolt Janos Balogh - Trauma Care Verification Program & Farewell remarks (2025.12.12),450776,
Dr. Taro Shimizu,総合診療科,獨協医科大学 総合診療医学・総合診療科 / 主任教授・診療部長,Patient history and Patient Collaboration,[総合診療科] 志水 太郎 - Patient historyと患者協働 (2026.02.16),286398,https://vimeo.com/1177162061
Dr. Taro Shimizu,総合診療科,獨協医科大学 総合診療医学・総合診療科 / 主任教授・診療部長,Case Conference (PGY1 Dr. Takeshita),[総合診療科] 志水 太郎 - 症例検討（PGY1 竹下先生） (2026.02.17),650602,https://vimeo.com/1177162237
Dr. Taro Shimizu,総合診療科,獨協医科大学 総合診療医学・総合診療科 / 主任教授・診療部長,Diagnostic Strategy Form I: Importance of DRED-C (Background Information Strategy),[総合診療科] 志水 太郎 - 診断戦略FormⅠ：DRED-Cの重要性 (2026.02.17),601373,https://vimeo.com/1177162517
Dr. Taro Shimizu,総合診療科,獨協医科大学 総合診療医学・総合診療科 / 主任教授・診療部長,Case Conference (PGY3 Dr. Hashimoto),[総合診療科] 志水 太郎 - 症例検討（PGY3 橋本先生） (2026.02.18),650602,https://vimeo.com/1177162727
